Image,ID,Total score,Rank,Link,Grand Leuks,Background,Foundation,Body,Clothing,Halos,Eyes,Masks,UNREVEALED,Balds,Vetements,Elements,Bald Masks,Bandanas,Bandana Masks,Kabutos,Kabuto Masks,Almightys,Monolith,Scarlets,Mythic,Alien,Luminous,Natural
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/550.png?__id=550,550,1483.0,1702,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/550,,Teal: 4.057% (402/9908),Blade of Onir: 1.867% (185/9908),Racer Gel Purple: 0.182% (18/9908),Orange Monk with Multi Chain: 0.121% (12/9908),None: 10.285% (1019/9908),None: 23.143% (2293/9908),None: 6.833% (677/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/592.png?__id=592,592,1482.98,1703,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/592,,Purple: 3.845% (381/9908),Wings of Emerald: 0.545% (54/9908),Racer Dark Yellow: 0.283% (28/9908),Stealth Binary with Bronze Chain: 0.283% (28/9908),Diamond Pins: 0.606% (60/9908),None: 23.143% (2293/9908),Orange Chain Face: 0.252% (25/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/659.png?__id=659,659,1482.96,1704,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/659,,Green: 4.088% (405/9908),Aura of Peace: 1.342% (133/9908),Pixie Cut Blood: 0.333% (33/9908),Teal Kira Monk: 0.131% (13/9908),Orbit: 1.322% (131/9908),None: 23.143% (2293/9908),Jade Bioface: 0.414% (41/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/2628.png?__id=2628,2628,1482.9,1705,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/2628,,Green: 4.088% (405/9908),None: 11.516% (1141/9908),Pixie Cut Black: 0.384% (38/9908),Orange Kira Monk with Green Chain: 0.131% (13/9908),None: 10.285% (1019/9908),None: 23.143% (2293/9908),Blood Chain Face: 0.242% (24/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/2525.png?__id=2525,2525,1481.71,1706,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/2525,,Red: 4.400% (436/9908),Aura of Ocean: 1.029% (102/9908),Ponytail Grey: 0.636% (63/9908),White Monk with Bronze Chain: 0.202% (20/9908),Gold Longsword: 0.525% (52/9908),Grey: 0.818% (81/9908),Orange Chain Face: 0.252% (25/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/2456.png?__id=2456,2456,1481.63,1707,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/2456,,Orange: 3.916% (388/9908),Blade of Krelene: 1.282% (127/9908),Pixie Cut Green: 0.273% (27/9908),Orange Kira Monk with Green Chain: 0.131% (13/9908),Gold Mini Shards: 0.818% (81/9908),None: 23.143% (2293/9908),Blood Ai Visor: 0.818% (81/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/2727.png?__id=2727,2727,1481.45,1708,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/2727,,Purple: 3.845% (381/9908),Aura of Ocean: 1.029% (102/9908),Bobcat Dark White: 0.182% (18/9908),Grey Knight: 0.242% (24/9908),None: 10.285% (1019/9908),Red: 0.727% (72/9908),Stealth Viper: 0.404% (40/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/2378.png?__id=2378,2378,1481.06,1709,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/2378,,Orange: 3.916% (388/9908),None: 11.516% (1141/9908),Racer Cream: 0.252% (25/9908),Grey Kira Monk with Bronze Chain: 0.121% (12/9908),None: 10.285% (1019/9908),None: 23.143% (2293/9908),Glacier Viper: 0.474% (47/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/322.png?__id=322,322,1481.02,1710,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/322,,Smoke: 4.007% (397/9908),Wings of Water: 0.595% (59/9908),Racer Gel Purple: 0.182% (18/9908),Stealth Formless: 0.252% (25/9908),Blood Fragments: 1.221% (121/9908),Yellow: 0.706% (70/9908),Bronze Ai Visor: 0.848% (84/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/1205.png?__id=1205,1205,1480.19,1711,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/1205,,Purple: 3.845% (381/9908),Aura of Nature: 1.110% (110/9908),Bobcat Kira: 0.151% (15/9908),Royal Fluid with Purple Chain: 0.303% (30/9908),Gold Pins: 0.585% (58/9908),None: 23.143% (2293/9908),Bronze Knower: 0.505% (50/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/3163.png?__id=3163,3163,1478.33,1712,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/3163,,Green: 4.088% (405/9908),None: 11.516% (1141/9908),Bobcat Violet: 0.151% (15/9908),Amethyst Galaxy: 0.202% (20/9908),None: 10.285% (1019/9908),None: 23.143% (2293/9908),Stealth Knower: 0.363% (36/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/55.png?__id=55,55,1477.94,1713,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/55,,Orange: 3.916% (388/9908),Aura of Taste: 1.080% (107/9908),Racer Cream: 0.252% (25/9908),Grey Vibrant: 0.222% (22/9908),None: 10.285% (1019/9908),Grey: 0.818% (81/9908),Pink Chain Face: 0.262% (26/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/1856.png?__id=1856,1856,1477.85,1714,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/1856,,Purple: 3.845% (381/9908),None: 11.516% (1141/9908),Pixie Cut Dark Purple: 0.182% (18/9908),Jade Fluid: 0.172% (17/9908),Silver Mini Shards: 1.564% (155/9908),None: 23.143% (2293/9908),Jade Bioface: 0.414% (41/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/142.png?__id=142,142,1476.9,1715,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/142,,Orange: 3.916% (388/9908),None: 11.516% (1141/9908),Racer Essential Teal: 0.212% (21/9908),Green Vibrant with Purple Chain: 0.232% (23/9908),Stealth Longsword: 1.171% (116/9908),None: 23.143% (2293/9908),Royal Maker: 0.222% (22/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/1172.png?__id=1172,1172,1476.31,1716,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/1172,,Red: 4.400% (436/9908),Wings of Water: 0.595% (59/9908),Racer Dark White: 0.293% (29/9908),Reptile Zone: 0.182% (18/9908),Gold Fragments: 0.706% (70/9908),None: 23.143% (2293/9908),Glacier Oracle: 0.404% (40/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/1361.png?__id=1361,1361,1476.21,1717,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/1361,,Purple: 3.845% (381/9908),Aura of Ocean: 1.029% (102/9908),Bobcat Light Yellow: 0.202% (20/9908),Saber: 0.333% (33/9908),Gold Mini Shards: 0.818% (81/9908),None: 23.143% (2293/9908),Grey Chain Face: 0.232% (23/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/2313.png?__id=2313,2313,1476.06,1718,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/2313,,Kira: 1.363% (135/9908),None: 11.516% (1141/9908),Bobcat Black: 0.131% (13/9908),Royal Velvet Turtleneck with Silver Chain: 0.515% (51/9908),None: 10.285% (1019/9908),Dark Grey: 0.555% (55/9908),Blood Taker: 0.404% (40/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/3277.png?__id=3277,3277,1475.92,1719,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/3277,,Orange: 3.916% (388/9908),Wings of Wrath: 0.616% (61/9908),Pixie Cut Blood: 0.333% (33/9908),Orange Kira Monk with Pink Chain: 0.182% (18/9908),Gold Fragments: 0.706% (70/9908),None: 23.143% (2293/9908),Lavender Taker: 0.343% (34/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/2756.png?__id=2756,2756,1474.53,1720,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/2756,,Red: 4.400% (436/9908),Stems of All: 0.333% (33/9908),Ponytail Black: 0.585% (58/9908),Purple Binary with Bronze Chain: 0.182% (18/9908),Blood Fragments: 1.221% (121/9908),Red: 0.727% (72/9908),Glacier Viper: 0.474% (47/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/464.png?__id=464,464,1473.41,1721,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/464,,Smoke: 4.007% (397/9908),Aura of Battle: 1.494% (148/9908),Bobcat Pink: 0.283% (28/9908),Grey Fluid: 0.232% (23/9908),None: 10.285% (1019/9908),None: 23.143% (2293/9908),Lavender Chain Face: 0.172% (17/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/2105.png?__id=2105,2105,1472.41,1722,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/2105,,Teal: 4.057% (402/9908),Wings of Earth: 0.545% (54/9908),Mullet Black: 0.182% (18/9908),Diamond Monk with Pink Chain: 0.161% (16/9908),Orbit: 1.322% (131/9908),None: 23.143% (2293/9908),None: 6.833% (677/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/2605.png?__id=2605,2605,1472.2,1723,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/2605,,Green: 4.088% (405/9908),None: 11.516% (1141/9908),Ponytail Black: 0.585% (58/9908),Red Tarantula: 0.121% (12/9908),Gold Longsword: 0.525% (52/9908),None: 23.143% (2293/9908),Glacier Oracle: 0.404% (40/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/633.png?__id=633,633,1471.84,1724,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/633,,Pink: 4.249% (421/9908),Wings of Silver: 0.394% (39/9908),Pixie Cut Multi Purple: 0.212% (21/9908),Green Vibrant with Bronze Chain: 0.222% (22/9908),None: 10.285% (1019/9908),Gator: 0.828% (82/9908),Earth Ai Visor: 0.706% (70/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/2350.png?__id=2350,2350,1471.57,1725,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/2350,,Orange: 3.916% (388/9908),Blade of Krelene: 1.282% (127/9908),Pixie Cut Grey: 0.384% (38/9908),White Monk with Silver Chain: 0.141% (14/9908),Orbit: 1.322% (131/9908),None: 23.143% (2293/9908),Jade Oracle: 0.313% (31/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/564.png?__id=564,564,1471.48,1726,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/564,,Orange: 3.916% (388/9908),Stems of Life: 0.858% (85/9908),Braids Black: 0.616% (61/9908),Royal Tarantula: 0.121% (12/9908),Purple Fragments: 1.120% (111/9908),None: 23.143% (2293/9908),Blood Taker: 0.404% (40/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/2666.png?__id=2666,2666,1471.25,1727,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/2666,,Pink: 4.249% (421/9908),None: 11.516% (1141/9908),Ponytail Multi Purple: 0.555% (55/9908),Purple Tarantula: 0.101% (10/9908),None: 10.285% (1019/9908),None: 23.143% (2293/9908),Orange Oracle: 0.394% (39/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/2187.png?__id=2187,2187,1469.64,1728,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/2187,,Red: 4.400% (436/9908),Wings of Emerald: 0.545% (54/9908),Ponytail Essential Rainbow: 0.313% (31/9908),Orange Monk: 0.182% (18/9908),Orbit: 1.322% (131/9908),Red: 0.727% (72/9908),Earth Oracle: 0.555% (55/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/806.png?__id=806,806,1469.39,1729,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/806,,Pink: 4.249% (421/9908),Wings of History: 0.929% (92/9908),Racer Light Rainbow: 0.232% (23/9908),Yellow Excellence: 0.192% (19/9908),Teal Fragments: 0.747% (74/9908),None: 23.143% (2293/9908),Glacier Oracle: 0.404% (40/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/1615.png?__id=1615,1615,1468.81,1730,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/1615,,Pink: 4.249% (421/9908),Blade of Dharus: 0.313% (31/9908),Racer Dark White: 0.293% (29/9908),Red Kira Monk with Green Chain: 0.313% (31/9908),None: 10.285% (1019/9908),None: 23.143% (2293/9908),Earth Chain Face: 0.222% (22/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/1454.png?__id=1454,1454,1468.33,1731,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/1454,,Green: 4.088% (405/9908),Aura of Nature: 1.110% (110/9908),Racer Light Black: 0.283% (28/9908),Diamond Monk with Multi Chain: 0.161% (16/9908),Gold Mini Shards: 0.818% (81/9908),None: 23.143% (2293/9908),Orange Oracle: 0.394% (39/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/3081.png?__id=3081,3081,1468.07,1732,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/3081,,Green: 4.088% (405/9908),Blade of Vilasandra: 0.939% (93/9908),Racer Dark Purple: 0.273% (27/9908),Royal Velvet Turtleneck with Bronze Chain: 0.283% (28/9908),Gold Pins: 0.585% (58/9908),Gold: 0.232% (23/9908),None: 6.833% (677/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/556.png?__id=556,556,1467.29,1733,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/556,,Red: 4.400% (436/9908),None: 11.516% (1141/9908),Ponytail Black: 0.585% (58/9908),Grey Kira Monk with Silver Chain: 0.121% (12/9908),Orange Fragments: 1.231% (122/9908),None: 23.143% (2293/9908),Jade Maker: 0.283% (28/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/2541.png?__id=2541,2541,1467.17,1734,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/2541,,Grey: 3.926% (389/9908),Wings of Bronze: 0.495% (49/9908),Bobcat Dark White: 0.182% (18/9908),Red Monk: 0.242% (24/9908),Royal Fragments: 0.767% (76/9908),None: 23.143% (2293/9908),Earth Ai Visor: 0.706% (70/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/1480.png?__id=1480,1480,1466.94,1735,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/1480,,Pink: 4.249% (421/9908),None: 11.516% (1141/9908),Braids Purple: 0.555% (55/9908),Royal Monk: 0.101% (10/9908),Orange Fragments: 1.231% (122/9908),Royal: 0.595% (59/9908),None: 6.833% (677/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/1507.png?__id=1507,1507,1466.91,1736,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/1507,,Green: 4.088% (405/9908),None: 11.516% (1141/9908),Racer Dark Yellow: 0.283% (28/9908),Diamond Knight: 0.172% (17/9908),None: 10.285% (1019/9908),Lava: 0.686% (68/9908),Lavender Oracle: 0.293% (29/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/82.png?__id=82,82,1466.83,1737,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/82,,Orange: 3.916% (388/9908),Wings of History: 0.929% (92/9908),Bobcat Orange: 0.192% (19/9908),Stealth Formless: 0.252% (25/9908),Orange Fragments: 1.231% (122/9908),None: 23.143% (2293/9908),Gold Ruler: 0.303% (30/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/3037.png?__id=3037,3037,1466.51,1738,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/3037,,Grey: 3.926% (389/9908),None: 11.516% (1141/9908),Racer Light Black: 0.283% (28/9908),Royal Velvet Turtleneck with Multi Chain: 0.323% (32/9908),Silver Mini Shards: 1.564% (155/9908),Rock: 0.545% (54/9908),Gold Viper: 0.192% (19/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/2001.png?__id=2001,2001,1466.47,1739,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/2001,,Teal: 4.057% (402/9908),Wings of Rainbow: 0.454% (45/9908),Racer Green: 0.262% (26/9908),White Monk with Silver Chain: 0.141% (14/9908),Jade Fragments: 0.878% (87/9908),None: 23.143% (2293/9908),None: 6.833% (677/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/3347.png?__id=3347,3347,1466.46,1740,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/3347,,Grey: 3.926% (389/9908),Aura of Taste: 1.080% (107/9908),Braids Purple: 0.555% (55/9908),Diamond Monk with Bronze Chain: 0.161% (16/9908),Jade Fragments: 0.878% (87/9908),None: 23.143% (2293/9908),Pink Maker: 0.232% (23/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/2840.png?__id=2840,2840,1465.97,1741,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/2840,,Purple: 3.845% (381/9908),Wings of Jade: 0.828% (82/9908),Racer Dark Black: 0.273% (27/9908),Grey Kira Monk with Black Chain: 0.141% (14/9908),None: 10.285% (1019/9908),None: 23.143% (2293/9908),Earth Taker: 0.434% (43/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/2844.png?__id=2844,2844,1465.74,1742,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/2844,,Red: 4.400% (436/9908),Aura of Ocean: 1.029% (102/9908),Racer Dark Violet: 0.192% (19/9908),Diamond Knight: 0.172% (17/9908),Stealth Longsword: 1.171% (116/9908),Yellow: 0.706% (70/9908),None: 6.833% (677/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/378.png?__id=378,378,1464.74,1743,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/378,,Grey: 3.926% (389/9908),Aura of Battle: 1.494% (148/9908),Ponytail Dark Rainbow: 0.232% (23/9908),Diamond Monk with Pink Chain: 0.161% (16/9908),Silver Mini Shards: 1.564% (155/9908),None: 23.143% (2293/9908),Orange Oracle: 0.394% (39/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/3240.png?__id=3240,3240,1461.15,1744,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/3240,,Purple: 3.845% (381/9908),None: 11.516% (1141/9908),Racer Dark Violet: 0.192% (19/9908),Amethyst Tarantula: 0.151% (15/9908),None: 10.285% (1019/9908),None: 23.143% (2293/9908),Lavender Ai Visor: 0.434% (43/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/3021.png?__id=3021,3021,1460.78,1745,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/3021,,Orange: 3.916% (388/9908),None: 11.516% (1141/9908),Bobcat Light Green: 0.252% (25/9908),Orange Kira Monk with Green Chain: 0.131% (13/9908),None: 10.285% (1019/9908),None: 23.143% (2293/9908),Orange Oracle: 0.394% (39/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/1312.png?__id=1312,1312,1459.67,1746,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/1312,,Orange: 3.916% (388/9908),Stems of Death: 0.575% (57/9908),Racer Silver: 0.192% (19/9908),Jade Binary: 0.242% (24/9908),Gold Fragments: 0.706% (70/9908),None: 23.143% (2293/9908),Earth Oracle: 0.555% (55/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/359.png?__id=359,359,1459.52,1747,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/359,,Orange: 3.916% (388/9908),Wings of Pearl: 0.696% (69/9908),Mullet Black: 0.182% (18/9908),Stealth Velvet Turtleneck: 0.283% (28/9908),None: 10.285% (1019/9908),Grey: 0.818% (81/9908),Orange Oracle: 0.394% (39/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/2034.png?__id=2034,2034,1459.2,1748,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/2034,,Smoke: 4.007% (397/9908),None: 11.516% (1141/9908),Pixie Cut Multi Bronze: 0.252% (25/9908),Reptile Zone: 0.182% (18/9908),Silver Pins: 0.626% (62/9908),Gator: 0.828% (82/9908),Bronze Knower: 0.505% (50/9908),,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/477.png?__id=477,477,1458.99,1749,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/477,,Red: 4.400% (436/9908),Aura of Peace: 1.342% (133/9908),Bobcat Kira: 0.151% (15/9908),Red Kira Monk with Pink Chain: 0.212% (21/9908),None: 10.285% (1019/9908),None: 23.143% (2293/9908),Orange Ruler: 0.464% (46/9908),,,,,,,,,,,,,,,,
