Image,ID,Total score,Rank,Link,Grand Leuks,Background,Foundation,Body,Clothing,Halos,Eyes,Masks,UNREVEALED,Balds,Vetements,Elements,Bald Masks,Bandanas,Bandana Masks,Kabutos,Kabuto Masks,Almightys,Monolith,Scarlets,Mythic,Alien,Luminous,Natural
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/3193.png?__id=3193,3193,9934.01,11,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/3193,,Purple: 3.845% (381/9908),,,,,,,,,,,,,,,,,,,,01: 0.010% (1/9908),,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/2998.png?__id=2998,2998,9933.47,13,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/2998,,Grey: 3.926% (389/9908),,,,,,,,,,,,,,,,,,,26: 0.010% (1/9908),,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/607.png?__id=607,607,9932.96,14,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/607,,Smoke: 4.007% (397/9908),,,,,,,,,,,,,,,,,,,,,,17: 0.010% (1/9908)
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/535.png?__id=535,535,9932.65,15,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/535,,Teal: 4.057% (402/9908),,,,,,,,,,,,,,,,,,,,,23: 0.010% (1/9908),
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/3252.png?__id=3252,3252,9931.53,16,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/3252,,Pink: 4.249% (421/9908),,,,,,,,,,,,,,,,,,,,05: 0.010% (1/9908),,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/809.png?__id=809,809,9931.53,16,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/809,,Pink: 4.249% (421/9908),,,,,,,,,,,,,,,,,,,,,22: 0.010% (1/9908),
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/1447.png?__id=1447,1447,9930.72,18,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/1447,,Red: 4.400% (436/9908),,,,,,,,,,,,,,,,,30: 0.010% (1/9908),,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/475.png?__id=475,475,9930.72,18,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/475,,Red: 4.400% (436/9908),,,,,,,,,,,,,,,,,,10: 0.010% (1/9908),,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/1.png?__id=1,1,9908.0,20,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/1,49: 0.010% (1/9908),,,,,,,,,,,,,,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/1119.png?__id=1119,1119,9908.0,20,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/1119,,,,,,,,,,,,,,,,,,34: 0.010% (1/9908),,,,,,
